date,open,high,low,close,volume,Index
2016-10-27,34.2427,34.3145,34.0542,34.126,1809475,HSBC
2016-10-28,33.8209,34.0942,33.7985,33.9645,2064755,HSBC
2016-10-31,33.7761,33.9196,33.6594,33.7671,1660104,HSBC
2016-11-01,33.8658,33.8837,33.3902,33.6504,2193408,HSBC
2016-11-02,33.5338,33.5517,33.1928,33.2915,2143200,HSBC
2016-11-03,33.4171,33.5338,33.212,33.2825,1342676,HSBC
2016-11-04,33.1838,33.4261,33.1389,33.2287,1875519,HSBC
2016-11-07,34.5119,34.6734,34.4311,34.5388,3019626,HSBC
2016-11-08,34.0273,34.6016,33.9645,34.4401,1732704,HSBC
2016-11-09,34.2696,34.9561,34.2606,34.7272,3672405,HSBC
2016-11-10,35.4092,35.5797,34.9524,35.1221,4515122,HSBC
2016-11-11,34.9247,35.2253,34.8349,35.2028,3073839,HSBC
2016-11-14,35.4631,35.6515,35.3855,35.5708,2269989,HSBC
2016-11-15,35.4541,35.8848,35.3913,35.8489,2129016,HSBC
2016-11-16,35.1669,35.2635,35.0009,35.0503,2345265,HSBC
2016-11-17,35.2298,35.3823,35.1041,35.2567,1694480,HSBC
2016-11-18,35.0323,35.1131,34.9516,35.0144,1374415,HSBC
2016-11-21,35.3733,35.4361,35.2028,35.4182,2003124,HSBC
2016-11-22,35.5977,35.7054,35.472,35.6515,1492075,HSBC
2016-11-23,35.2298,35.9117,35.2208,35.813,1937620,HSBC
2016-11-25,35.6964,35.7996,35.6336,35.7412,698783,HSBC
2016-11-28,35.3105,35.3554,35.0682,35.1131,2464076,HSBC
2016-11-29,35.1939,35.4272,35.1221,35.2746,1198336,HSBC
2016-11-30,35.4541,35.6336,35.3588,35.481,2535017,HSBC
2016-12-01,35.3554,35.6515,35.3105,35.481,2059586,HSBC
2016-12-02,35.5438,35.7771,35.4631,35.6156,1821324,HSBC
2016-12-05,35.6874,35.8893,35.656,35.7682,1990815,HSBC
2016-12-06,37.1501,37.4283,36.9616,37.3475,4701783,HSBC
2016-12-07,38.0474,38.6486,38.0115,38.5499,3757543,HSBC
2016-12-08,38.1551,38.2987,38.0115,38.1731,2276930,HSBC
2016-12-09,38.1013,38.2718,38.0026,38.2628,2326116,HSBC
2016-12-12,37.1411,37.3743,36.9706,37.168,3793945,HSBC
2016-12-13,37.5629,37.841,37.3958,37.7423,4343205,HSBC
2016-12-14,37.7782,37.8769,37.2129,37.2488,2701158,HSBC
2016-12-15,37.2667,37.4103,37.1142,37.1411,2618335,HSBC
2016-12-16,37.1232,37.3026,37.0693,37.1142,1919366,HSBC
2016-12-19,36.6027,36.7911,36.4905,36.6924,2041221,HSBC
2016-12-20,36.2079,36.504,36.154,36.4053,2867821,HSBC
2016-12-21,36.4143,36.4501,36.2806,36.3604,1393066,HSBC
2016-12-22,36.1989,36.3155,36.1181,36.1989,1382380,HSBC
2016-12-23,35.6156,35.822,35.5169,35.7771,1477661,HSBC
2016-12-27,35.831,35.8795,35.7771,35.7771,748131,HSBC
2016-12-28,35.9028,35.9611,35.6784,35.6874,1167003,HSBC
2016-12-29,35.7502,35.7771,35.5708,35.6874,1405547,HSBC
2016-12-30,36.1451,36.2527,36.0015,36.0553,1743461,HSBC
2017-01-03,36.854,36.8629,36.5578,36.6924,2353037,HSBC
2017-01-04,36.8001,37.0603,36.6476,37.0424,1398653,HSBC
2017-01-05,36.836,36.9796,36.7194,36.9347,1573939,HSBC
2017-01-06,36.836,37.0335,36.827,36.9257,2313263,HSBC
2017-01-09,36.5758,36.6028,36.4501,36.486,1896502,HSBC
2017-01-10,36.6027,36.8495,36.5309,36.5668,1764194,HSBC
2017-01-11,36.7822,37.1052,36.6296,37.1052,1917668,HSBC
2017-01-12,37.0245,37.0962,36.827,36.9527,1318293,HSBC
2017-01-13,36.8629,37.0962,36.8629,36.9347,1592855,HSBC
2017-01-17,37.4193,37.4372,36.9257,36.9527,1988952,HSBC
2017-01-18,37.5,37.6705,37.2937,37.6077,3071440,HSBC
2017-01-19,37.5359,37.6167,37.2308,37.3924,2159483,HSBC
2017-01-20,37.3834,37.518,37.3654,37.4552,1206226,HSBC
2017-01-23,37.3206,37.6257,37.2937,37.5808,1394139,HSBC
2017-01-24,37.7513,37.9128,37.6795,37.7782,1331036,HSBC
2017-01-25,38.2718,38.4512,38.2089,38.4333,1415726,HSBC
2017-01-26,38.4961,38.6127,38.4243,38.5769,1626272,HSBC
2017-01-27,38.6756,38.7115,38.5051,38.5499,1353866,HSBC
2017-01-30,38.2538,38.2807,38.0564,38.1372,1412395,HSBC
2017-01-31,38.5769,38.6172,38.0968,38.2269,1681037,HSBC
2017-02-01,38.6756,38.7025,38.2852,38.3884,2221930,HSBC
2017-02-02,38.2359,38.2807,37.9846,38.1013,2379206,HSBC
2017-02-03,38.3346,38.541,38.2807,38.3884,6750675,HSBC
2017-02-06,38.2269,38.4691,38.2269,38.3705,4395154,HSBC
2017-02-07,38.2987,38.4871,38.2807,38.4333,2162537,HSBC
2017-02-08,38.1192,38.2448,37.8635,38.2089,1868846,HSBC
2017-02-09,38.514,38.7563,38.4512,38.6397,1744138,HSBC
